Base_ID	Panel	PH	EH
A10_10	USP	4.564385495	18.47306343
A11_11	USP	14.96306544	15.3866951
A12_12	USP	13.09841291	5.164154151
A131	NCRIPS	-28.09072455	-28.52107136
A188	ASSO	-33.55690455	-34.08712136
A1_1	USP	6.71511929	6.252795802
A214N	ASSO	15.87377545	19.70779864
A239	ASSO	-19.47262455	-21.08665136
A272	ASSO	-7.149224548	-18.36082136
A2_2	USP	2.333745653	14.61972998
A3_3	USP	-14.91799581	-12.92448585
A441	ASSO	-32.42806455	-17.65402136
A4_4	USP	-10.74006759	-3.974326314
A554	ASSO	-30.84382455	-26.08354136
A556	ASSO	-43.12582455	-27.59200136
A5_5	USP	-8.614258042	-13.02320664
A6	ASSO	22.24661545	31.91869864
A619	ASSO	-6.205304548	-24.01708136
A632	ASSO	-7.565064548	0.911568635
A634	ASSO	-16.01986455	-9.185441365
A635	ASSO	-43.22150455	-27.34276136
A641	ASSO	-32.04810455	-22.26217136
A654	ASSO	-36.64442455	-31.55008136
A659	ASSO	-28.04702455	-25.37953136
A661	ASSO	-14.14490455	-10.27075136
A679	ASSO	-3.807784548	-6.644681365
A680	ASSO	11.81013545	4.163778635
A682	ASSO	-5.970704548	-16.70914136
A6_6	USP	-1.948660025	-16.55633751
A7_7	USP	3.143088855	-9.565445717
A8_8	USP	15.80195439	7.667635184
A9_9	USP	2.578460375	13.67620504
Ab18	NCRIPS	-31.69528455	-12.35543936
Ab24E	NCRIPS	10.08117945	8.447916635
Ab26A	NCRIPS	-23.45107255	-20.05574636
Ab28A	ASSO	8.925935452	-1.622681365
Ab608A	NCRIPS	15.55435145	11.10883264
Ab610	NCRIPS	-3.330028548	-10.00346936
Ab616	NCRIPS	14.50757545	10.69079764
Ames10244	NCRIPS	4.811787452	2.001528635
Ames10247	NCRIPS	10.91883945	0.691623635
Ames10248	NCRIPS	-2.224740548	3.197415635
Ames10249	NCRIPS	-2.890360548	-0.744017365
Ames10250	NCRIPS	17.67513545	22.25609164
Ames10251	NCRIPS	25.01158345	8.130786635
Ames10252	NCRIPS	0.793503452	0.123858635
Ames10253	NCRIPS	-9.005784548	4.324110635
Ames10254	NCRIPS	-27.16474455	-22.53875336
Ames10255	NCRIPS	-12.50022055	-6.631010365
Ames10256	NCRIPS	-6.043568548	-10.39499936
Ames10257	NCRIPS	-13.61139655	4.281051635
Ames10258	NCRIPS	7.314279452	15.44728264
Ames10259	NCRIPS	-3.106928548	-4.312427365
